city,date,fare,ride_id
Lake Jonathanshire,2019/1/14 10:14:22,13.83,5.74E+12
South Michelleport,2019/3/4 18:24:09,30.24,2.34E+12
Port Samanthamouth,2019/2/24 4:29:00,33.44,2.01E+12
Rodneyfort,2019/2/10 23:22:03,23.44,5.15E+12
South Jack,2019/3/6 4:28:35,34.58,3.91E+12
South Latoya,2019/3/11 12:26:48,9.52,2.00E+12
New Paulville,2019/2/27 11:17:56,43.25,7.93E+11
Simpsonburgh,2019/4/26 0:43:24,35.98,1.12E+11
South Karenland,2019/1/8 3:28:48,35.09,8.00E+12
North Jasmine,2019/3/9 6:26:29,42.81,5.33E+12
New Kimberlyborough,2019/2/7 1:10:11,9.34,7.99E+12
West Angela,2019/1/12 1:45:27,26.86,4.82E+12
Rodneyfort,2019/3/2 18:03:20,44.26,2.49E+12
West Angela,2019/1/10 12:17:31,12.74,2.11E+12
Roberthaven,2019/5/4 14:48:56,25.66,1.03E+12
North Jason,2019/3/28 22:28:44,9.19,7.01E+12
Williamsview,2019/1/3 16:19:25,18.93,1.98E+12
Leahton,2019/2/26 18:42:15,8.85,6.97E+12
West Anthony,2019/3/6 2:27:01,10.02,9.40E+12
New Kimberlyborough,2019/4/25 22:58:38,29.67,4.82E+12
Roberthaven,2019/2/24 10:26:34,7.8,2.18E+12
New Paulton,2019/5/1 3:12:49,8.28,8.53E+12
West Patrickchester,2019/3/19 5:46:20,40.86,8.99E+11
Deanville,2019/4/25 3:29:09,41.52,6.06E+12
West Josephberg,2019/2/19 16:22:09,36.39,3.32E+12
West Samuelburgh,2019/5/3 14:33:41,41.12,7.33E+12
West Heidi,2019/3/14 23:46:50,24.4,4.91E+12
Loganberg,2019/4/1 1:06:03,8.23,6.79E+11
Huntermouth,2019/2/10 23:32:13,25.79,1.88E+12
South Latoya,2019/1/11 18:44:14,27.41,8.66E+12
New Paulville,2019/3/18 22:54:11,25.05,5.03E+12
Grahamburgh,2019/1/15 11:44:20,40.69,3.07E+11
Port Frank,2019/2/2 14:14:37,41.47,6.75E+12
East Kaylahaven,2019/2/28 4:13:57,25.96,3.66E+12
Rodneyfort,2019/2/3 0:48:41,44.86,2.33E+12
South Karenland,2019/2/12 6:52:03,36.01,4.02E+12
West Robert,2019/2/15 4:21:47,12.28,1.44E+12
North Markport,2019/2/18 8:17:35,38.09,9.25E+11
Williamsview,2019/3/12 6:47:43,8.35,1.94E+12
Richardfort,2019/2/24 8:40:38,13.93,5.63E+12
New Kimberlyborough,2019/3/14 16:47:25,27.9,6.75E+12
Reynoldsfurt,2019/3/25 14:33:27,34.06,6.60E+12
South Karenland,2019/5/8 2:31:25,41.33,5.69E+12
Rodneyfort,2019/4/25 20:57:43,21.7,8.53E+12
Justinberg,2019/4/23 8:59:48,14.65,9.88E+12
West Josephberg,2019/3/5 3:27:34,12.91,1.03E+11
South Karenland,2019/3/3 14:48:30,37.3,4.10E+12
Leahton,2019/5/5 10:34:50,17.05,5.85E+12
Martinezhaven,2019/3/19 15:31:26,5.3,2.64E+11
North Jason,2019/3/3 2:13:37,28.02,2.67E+12
Jerryton,2019/3/3 17:50:23,28.08,6.00E+12
Lake Scottton,2019/2/18 9:22:35,25.02,3.91E+12
South Evanton,2019/2/14 5:55:36,42.5,9.95E+12
Rogerston,2019/5/8 1:54:18,32.69,1.64E+12
West Samuelburgh,2019/5/2 13:55:01,38.77,2.93E+12
West Ericstad,2019/4/24 3:20:14,7.31,4.29E+12
New Paulville,2019/3/10 10:45:24,4.43,1.21E+12
Hurleymouth,2019/5/4 21:50:30,21.44,4.04E+12
West Samuelburgh,2019/3/3 3:17:20,25.17,1.78E+12
Joneschester,2019/3/1 18:48:35,34.71,3.34E+12
New Paulville,2019/4/3 7:51:03,32.7,9.56E+12
Simpsonburgh,2019/1/19 23:06:27,15.83,2.33E+11
Port Angela,2019/4/17 6:23:18,16.34,7.12E+12
West Ericstad,2019/4/4 13:03:16,28.52,6.43E+12
New Kimberlyborough,2019/3/16 1:38:48,17.19,2.77E+12
Joneschester,2019/1/30 17:41:45,36.78,1.66E+12
North Markport,2019/4/26 4:45:54,44.37,1.63E+12
Hurleymouth,2019/3/22 11:19:58,32.85,8.45E+12
Barajasview,2019/1/15 2:59:07,19.52,8.27E+12
Grahamburgh,2019/4/6 13:48:54,23.87,1.47E+12
South Michelleport,2019/3/2 9:54:50,33.12,8.14E+11
Loganberg,2019/1/7 19:02:38,16.26,9.05E+12
West Christopherberg,2019/3/18 17:14:06,12.64,1.06E+12
Rogerston,2019/2/23 19:13:13,14.04,7.65E+12
Huntermouth,2019/2/24 7:57:03,39.12,9.28E+11
New Jacobville,2019/2/9 2:17:35,7.11,3.86E+12
Lake Jonathanshire,2019/4/7 20:51:11,31.25,4.44E+12
Port David,2019/3/17 14:42:43,33.11,1.03E+12
Martinezhaven,2019/2/20 19:32:45,13.34,2.76E+12
Port Frank,2019/4/19 19:35:08,26.47,6.72E+12
Valentineton,2019/3/2 14:44:47,39.77,6.77E+12
Hurleymouth,2019/3/3 11:28:17,36.31,1.67E+11
Carriemouth,2019/2/25 8:26:25,32.37,6.92E+12
Port Samanthamouth,2019/4/16 18:34:44,9.2,8.71E+12
Williamsstad,2019/1/23 17:51:24,19.62,1.26E+11
Royland,2019/1/7 2:23:48,24.5,3.62E+12
New Jacobville,2019/1/5 5:02:35,34.11,2.83E+12
Roberthaven,2019/3/6 22:56:31,12.38,3.37E+12
South Evanton,2019/1/7 18:47:02,43.61,9.12E+12
New Paulton,2019/5/3 12:09:12,21.67,9.09E+12
Karenberg,2019/3/11 17:26:12,36.15,7.80E+12
Rodneyfort,2019/1/30 12:34:42,16.99,5.78E+12
East Kaylahaven,2019/4/4 2:35:55,23.18,57422927996
Huntermouth,2019/2/19 3:19:21,7.05,1.62E+12
Barajasview,2019/1/23 13:23:53,37.68,4.11E+12
Williamsstad,2019/3/29 21:43:04,35.58,4.75E+12
North Jason,2019/3/8 20:06:21,25.21,3.18E+12
Christopherfurt,2019/4/17 2:25:49,23.3,7.82E+12
Liumouth,2019/1/11 17:15:17,36.78,1.46E+12
Johnton,2019/1/17 2:12:01,32.19,8.53E+12
West Angela,2019/3/8 1:08:42,41.06,6.20E+12
Jerryton,2019/1/4 16:38:59,37.2,5.64E+12
Erikaland,2019/2/18 7:47:15,20.62,3.29E+12
North Jason,2019/2/7 7:27:09,20,4.74E+11
Lake Scottton,2019/5/5 11:21:47,18.77,4.05E+11
Simpsonburgh,2019/3/22 8:56:23,22.05,3.50E+12
Raymondhaven,2019/3/12 6:59:59,16.98,6.45E+12
West Robert,2019/4/5 3:18:56,44.58,4.25E+12
North Jason,2019/3/18 10:10:37,6.41,2.87E+12
